"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3066275","3298673","3607249","3946873","4267544","4539012","4695426","4788255","4853675","4939405","5071018","5293408","5573458","5886907","6198355","6483460","6644359","6770366","6887819","7028236","7214373","7522643","7890946","8307845","8741746","9175691","9567304","9948739","10319282","10701549","10657679",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4844889","4998077","5161891","5342891","5518484","5697808","5876025","6067327","6270421","6486104","6712511","6936309","7167726","7418810","7682024","7959563","8244252","8546325","8866362","9209591","9560071","9909985","10270963","10647310","11035038","11438809","11848868","12269158","12705650","13155274","13292780",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1448255","1512840","1513773","1474435","1438075","1390620","1372578","1403095","1384501","1357637","1343716","1319777","1313099","1300292","1286492","1271829","1260202","1247416","1234242","1226421","1225905","1371813","1314035","1232509","1243921","1302893","1328845","1344945","1400072","1422089","1408795",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61272327","63332276","64626100","66954021","69592137","72288449","74114311","75954342","77750372","80648097","82984968","84968599","87077990","90011595","92965157","96049834","99281130","103159201","106482610","110161836","114111272","117341275","120739613","124425399","126846069","129099358","131641441","133065712","134761988","137660448","135831129",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917345","986208","1062992","1147962","1232999","1318504","1385032","1462752","1551179","1649817","1760638","1896724","2048195","2245476","2534168","2943396","3493192","4187567","4946286","5654067","6220770","6473126","6576737","6583700","6572267","6600053","6612644","6676278","6753138","6834750","6820037",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13609216","13884512","14168538","14478206","14765661","14932381","15228311","15572589","15870569","16071710","16313897","16513812","16594407","16979409","17375102","17521278","17832502","17855169","17879075","18227891","18221948","18556926","18771887","18931350","19008308","19361189","19696125","20034606","20551682","20877041","19180360",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1412084","1394629","1363887","1325651","1287277","1254553","1234444","1221870","1215083","1210923","1206967","1208857","1209974","1210962","1213377","1218020","1220593","1225416","1223865","1246646","1304217","1335949","1345566","1354996","1342620","1329444","1304793","1298429","1245626","1240430","1175581",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
