"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.37","7.52","8.1339623541","7.2765527717","7.4457483207","6.2875655719","8.4072868128","8.8147055735","8.5460367412","8.2941671816","8.150910811","8.1163383886","8.6746538321","6.9564914492","8.8359475606","9.5145923515","",
"Afghanistan","AFG","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.67","10.46","14.5390550588","13.8550695936","15.6503000086","16.2560804001","16.7902381694","17.3506681878","17.5424266562","21.6095155045","21.7283665413","22.2305388427","26.7775489792","23.4463595731","25.1572287867","25.8626087565","",
"Albania","ALB","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.4","","2.1591739543","1.9997639616","3.7078510762","4.1156036746","4.8229940951","4.7858702718","4.8180440282","4.5120318941","5.025351324","4.3888432383","5.8214306462","2.9465116261","3.5837128647","",
"Andorra","AND","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.06","39.22","48.8940304996","52.2532779436","53.3831462489","57.9325817574","62.6545277968","62.6314998646","61.5101965733","62.7188977882","60.9979512284","60.9410880084","65.2324926508","67.8649153706","72.8719672631","71.4867113959","",
"Argentina","ARG","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.09","24.95","27.3152214366","26.3591652041","27.6414455874","26.3561894664","28.0141695926","27.5903748254","28.1098964285","31.1191672163","33.2380352734","34.4581805276","33.1546480245","32.3034610857","32.4569582124","31.4812238721","",
"Armenia","ARM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17","5.3","8.1720596461","10.278024015","10.0877207013","8.9405330391","6.1350197701","6.4959732579","6.1502089265","6.00041777","6.022909772","6.6867562643","6.4780439678","7.6613557709","7.5768261076","7.4701301289","",
